Pincode,District,State,Latitude,Longitude,Region_Type,Taluk,Flood_Zone
0.8571428571428577,21,0,0.6915983289494045,0.8926585094549502,2,21,1
0.8571714285714283,21,0,0.6967352622621075,0.9040203400603845,2,21,3
0.8578571428571422,21,0,0.6859043787714683,0.8865406006674093,1,21,3
0.858257142857143,21,0,0.7060188766826556,0.9167328778007312,1,21,2
0.858428571428572,21,0,0.7091134148228377,0.9215000794533612,0,21,3
0.9428571428571432,4,0,0.5861055237505801,0.6640711902113452,2,4,1
0.942914285714286,4,0,0.582237351075352,0.6593039885587153,0,4,2
0.9485714285714284,4,0,0.6008045799164479,0.6831399968218665,0,4,2
0.9714285714285716,24,0,0.5714064675847133,0.5877959637692669,2,24,3
0.971457142857142,24,0,0.5745010057248958,0.5925631654218968,1,24,1
0.5714285714285712,10,0,0.5088967971530249,0.484188781185443,2,10,2
0.5716857142857137,10,0,0.5110629738511525,0.4876847290640391,2,10,1
0.5999999999999996,10,0,0.4986848212904227,0.4765612585412349,1,10,1
0.6285714285714281,5,0,0.4781061426582083,0.4506594628952793,2,5,2
0.6286000000000005,5,0,0.4801175924493268,0.4527252502780872,2,5,2
0.6342857142857135,5,0,0.4615503636082314,0.436834578102653,0,5,3
0.685714285714285,15,0,0.189695187993192,0.3791514381058309,2,15,3
0.6857428571428574,15,0,0.1923255454123471,0.3812172254886388,1,15,2
0.5142857142857142,11,0,0.4039919542008356,0.0692833306848896,2,11,1
0.5143142857142848,11,0,0.4058486770849452,0.0713491180676939,2,11,2
0.4571428571428573,7,0,0.1934086337614111,0.1943429207055462,2,7,1
0.4285714285714288,1,0,0.2266749187683738,0.0,2,1,3
0.4285999999999994,1,0,0.2294600030945379,0.0030192277133327,1,1,1
0.4857142857142857,3,0,0.0,0.2382011759097402,2,3,1
0.5,20,0,0.0637474856877609,0.2888924201493719,2,20,0
0.5000285714285706,20,0,0.0654494816648614,0.2906403940886708,2,20,1
1.0,22,0,0.7566145752746403,0.9208644525663434,2,22,2
0.9142857142857146,19,0,0.7857032337923568,1.0,2,19,2
0.0,6,1,0.6449017484140493,0.1407913554743363,2,6,0
2.8571428570600688e-05,6,1,0.6456753829490949,0.1380899412045124,2,6,3
5.714285714297773e-05,6,1,0.6487699210892774,0.1428571428571441,2,6,2
8.571428571357842e-05,6,1,0.6472226520191859,0.1365008739869697,2,6,2
0.0001999999999995,6,1,0.6534117282995515,0.1396790084220569,2,6,1
0.0004285714285714,6,1,0.650317190159369,0.1333227395518825,2,6,0
0.0004857142857144,6,1,0.6479962865542319,0.1365008739869697,2,6,3
0.0007999999999999,6,1,0.65186445922946,0.1253774034641672,2,6,1
0.0008857142857134,17,1,0.6363917685285467,0.1190211345939928,2,17,2
0.0009428571428564,17,1,0.6332972303883646,0.1142539329413629,1,17,2
0.0021142857142848,17,1,0.630202692248182,0.1094867312887348,1,17,0
0.0428571428571427,17,1,0.6162772706173603,0.079294454155411,0,17,2
0.0020285714285712,13,1,0.6626953427200992,0.1508024789448594,1,13,0
0.0024571428571427,13,1,0.6673371499303733,0.1555696805974893,2,13,2
0.0571428571428569,18,1,0.6812625715611946,0.0745272525027811,2,18,3
0.0580285714285704,18,1,0.675073495280829,0.066581916415064,0,18,3
0.0857142857142854,16,1,0.8441900046418072,0.0783410138248843,2,16,3
0.0857428571428577,16,1,0.8468203620609627,0.0808835213729537,1,16,1
0.1428571428571423,8,1,0.8079839084016713,0.2428094708406174,2,8,1
0.1428857142857147,8,1,0.8096859043787714,0.2445574447799146,2,8,1
0.1714285714285708,23,1,0.7366548042704628,0.316701096456379,2,23,3
0.1714571428571432,23,1,0.7385115271545719,0.3192436040044502,2,23,0
0.1714857142857138,23,1,0.7338697199442987,0.3128873351342758,1,23,2
0.1999999999999993,9,1,0.6235494352467894,0.4052121404735409,2,9,3
0.2000285714285716,9,1,0.6255608850379084,0.4082313681868754,1,9,1
0.2285714285714277,14,1,0.5943060498220643,0.2647385984427135,2,14,2
0.2571428571428562,12,1,0.5446387126721337,0.0607023677101548,2,12,3
0.2571714285714286,12,1,0.5466501624632523,0.0634037819799786,1,12,0
0.1142857142857138,0,1,0.9975243694878544,0.1479421579532811,2,0,2
0.1143142857142862,0,1,1.0,0.1508024789448594,1,0,2
0.1199999999999992,0,1,0.9721491567383568,0.1269664706817117,0,0,1
0.1214285714285718,2,1,0.9520346588271704,0.2668043858255213,0,2,2
