District,State,Latitude,Longitude
49,0,0.6945510835913318,0.8989035087719319
50,0,0.2430340557275543,0.9444444444444464
45,0,0.4551083591331273,0.2675438596491251
8,0,0.5882352941176472,0.6915204678362574
53,0,0.5727554179566563,0.6184210526315805
22,0,0.5263157894736845,0.5307017543859676
11,0,0.4798761609907123,0.4868421052631611
39,0,0.0386996904024767,0.9181286549707616
34,0,0.1857585139318889,0.4137426900584824
24,0,0.4024767801857587,0.1359649122807038
17,0,0.8436532507739938,0.5321637426900594
3,0,0.2321981424148607,0.0774853801169594
7,0,0.0,0.2967836257309955
1,0,0.2507739938080497,0.9795321637426913
2,0,0.5526315789473686,0.9415204678362592
5,0,0.5975232198142413,0.3040935672514635
9,0,0.3126934984520124,0.5526315789473699
21,0,0.702786377708978,0.3157894736842124
37,0,0.5077399380804954,0.3435672514619909
44,0,0.7260061919504648,0.4678362573099424
47,0,0.0402476780185763,0.1593567251461998
13,1,0.6478328173374615,0.2071198830409368
41,1,0.6191950464396285,0.1359649122807038
29,1,0.8436532507739938,0.8830409356725166
42,1,0.6842105263157898,0.1461988304093573
28,1,0.7492260061919502,0.1754385964912295
36,1,0.8467492260061924,0.1505847953216381
18,1,0.3374613003095978,0.4561403508771935
14,1,0.3544891640866874,0.7368421052631593
40,1,0.0944272445820435,0.1915204678362574
19,1,0.8095975232198143,0.3011695906432763
38,1,0.4566563467492259,0.1038011695906444
16,1,0.7755417956656347,0.2938596491228082
30,1,0.1207430340557276,0.6812865497076039
6,1,0.0046439628482972,0.624269005847955
20,1,0.6191950464396285,0.442982456140351
32,1,0.5959752321981426,0.3201754385964932
46,1,0.060371517027864,0.1096491228070188
54,1,0.2058823529411766,0.2923976608187146
26,1,0.5464396284829722,0.1330409356725166
31,1,0.5201238390092877,0.1418128654970782
51,1,0.128482972136223,0.8888888888888911
10,1,0.4876160990712077,0.8801169590643294
33,1,0.3142414860681115,0.6184210526315805
48,1,0.4551083591331273,0.3157894736842124
43,1,0.4055727554179569,0.5043859649122808
15,1,0.1547987616099071,0.3128654970760234
52,1,0.738390092879257,0.3684210526315805
12,1,0.3034055727554179,0.3040935672514635
25,1,0.1501547987616098,0.6842105263157912
35,1,0.2693498452012384,1.0
0,1,1.0,0.2134502923976633
23,1,0.5294117647058827,0.809941520467838
27,1,0.4055727554179569,0.4225146198830423
4,1,0.8931888544891642,0.0
